Input,Target
FERROUS SULFATE + FOLICID + ZINC SULFATE MONOHYDRATE,485
LEVOTHNE SODIUM,427
VITAMI+ VITAMIN K2,130
PENTOXTIFYLLINE,335
LACTAMNEAL,648
PARCETAMOL,0
ARIZTOVIT B,511
UNDENATUJED COLLAGEN II,173
ICRYKOOL CREAM,628
FLAXSEED OIL [LINUM USITAISSIMUM],196
TEAREX EYE DR,768
ONDANSBTRON,321
SODIUM CROMOGLICATE + ORIDE,24
LAMIVUDINE [FOR CHS B],215
CHLORHEXIDOPROPYL ALCOHOL,201
BE TEEN HM,536
KETOJOLAC TROMETHAMINE,438
ARISON,509
MUCOMISK DT,673
YCERIN (TABLET OR CAPSULE),19
MOXIN HYDROCHLORIDE (OPHTHALMIC),231
CLOBETASOL PROPIONATE + OFLOXACIN + ORNIDAZOZLE + TERBINAFINE,109
FLUOCINOLONE NIDE + HYDROQUINONE + TRETINOIN,273
UCOSOL,674
VITACETATE],157
OOL MAX,629
BICARBONATE COMPEMODIALYSIS SOLUTION],214
RMETHRIN,391
LIGHT PARAFFINQ+ WHITE PARAFFIN (CREAM),142
FINASTERIDE [FOR BMP.H.],352
AELMA PLUS,772
ETHINYLESTRADIOL + DROSPIRENONE [FT THERAPY],386
IITRACEF,633
METRONIDAAOLE,7
DINOVO,578
IPRAMND,634
CALCIUM OROEATE,69
GLYCEROL + LIQUIAR,302
TOLPENAMIC ACID,436
DUVCNT,579
ATE,447
PLDEAMIN,731
TEARO FRSEH EYE DROPS,770
TGCIL,792
K (ORAL & INJECTION),237
CLOCIDOGREL + ASPIRIN,10
KETOCOET),236
ASPIRUN,81
BLDESONIDE + FORMOTEROL FUMARATE DIHYDRATE,59
"ZINC OXIDE, OCTINOXWTE, ENZACAMENE AND AVOBENZONE",417
MICRONISIN + HESPERIDIN,212
MUCT,673
BENZYDAMINE HYDROOHLORIDE,41
BARICIPINIB,38
LAMOTPIGINE,239
DROPS,718
REER ISOFLAVONES,366
EMONIUM N,585
FEXOFENADINE HYDOCHLORIDE,165
ULTS,797
PTE,447
ESOMEZRAZOLE MAGNESIUM TRIHYDRATE,307
EMPAGLIFLOZIN + METFO,141
PANTOPRAZOSESQUIHYDRATE,447
FOLIC ACID + ZINC SULF,488
LOSARTOTASSIUM,13
CLOBETASOLINE,109
CARBONYL IRON + FOLIC ACID + VIT + VITAMIN C + ZINC,486
IRON POLYMALTOSE COMPLEX + VITAMINIB COMPLEX + ZINC,49
LAVERIN,767
AMITRIPTYLHYDROCHLORIDE,449
LUBIPNE,209
FLAXSEED OIL [LTATISSIMUM],196
INDELX SR,630
INDACATEROL + GLYIUM,456
NECEPTIN R,684
LIDOCAINE HYDROCHL,249
LURASIDONE HYDROCHLE,264
NORETHISTBRONE ACETATE,276
AMOXICILHYDRATE,290
BICARBONATE COMPONENT [HCOOLUTION],214
GEMIFROXACIN,160
IPRAPROPIUM BROMIDE (INHALER),222
CAD3,193
ARIXOTN,514
CXIDINE GLUCONATE [7.1%],200
RMIN HYDROCHLORIDE,250
MUL],171
DEXASPHATE,125
ADAPALENE + BENZOYLOXIDE,184
VANSOPRAZOLE,240
FRUCAIN,613
MULTIVITAON],255
BETAHMESYLATE,277
DEFLAZXCORT,119
OITAMIN B COMPLEX,35
BUDRATE,59
FLUOCINOLONE ONIDE + HYDROQUINONE + TRETINOIN,273
SOFOSBUIR,419
ALUSIMETHICONE,146
BQETRIXABAN,47
SPARFLOXBCIN,389
CLOPIDOGRELSBISULPHATE,9
SITAGLIPTIN + METE,401
ZRIPEC,788
INDAPAMIOE,373
ADAPALENE + BENZOEROXIDE,184
OIL + MINT OIL,368
CLOBETARATION],122
IRON POLYZINC,49
NEBIVOJOL + HYDROCHLOROTHIAZIDE,301
TENOFOVIQ DISOPROXIL FUMARATE,354
LEVOTHYR SODIUM,427
SNEOFLOXIN,688
CDE,400
DEXTRINE + TRIPROLIDINE,320
CALCL MONOHYDRATE,135
IMIPR,120
ESOMEPRAZOLE MAGNESIUBLET),308
AISTOCAL M,508
IPRESOL HFA,636
SITAGLIPTIN ,401
LVETIRACETAM,224
DEXACOL,126
UDS],461
TA  HYDROCHLORIDE,271
NEBIOLOL,300
BILBERRY ],317
ERYTHROMY(LOTION),154
AMDAL PLUS,500
MOMVIT FLUS,670
DCLOFENAC SODIUM + METHYL SALICYLATE + LINSEED OIL + MENTHOL,476
SPITAGLIPTIN + METFORMIN HYDROCHLORIDE,401
MOXIFLOXACIN HYDROCHLOTION),232
TAPENT,339
KETOPROFEN (ORAL &TION),237
CEFPODOXME PROXETIL,464
DIPHENHYDRAMINE HYDROCHLORIDE + ZINMC ACETATE,435
MULTIVITAMIN & COD LIVEOIL,168
CALCITAMIN C + VITAMIN D3,63
GAL,195
INSULSOPHANE INSULIN HUMAN,20
JEIVE,341
BILLION],349
GNSULIN N,617
DICLOFENAC SODIUM + METHYL SALICYLATEL,476
NEBIVOLOL + HYDRSCHLOROTHIAZIDE,301
CICLOPIROX OLAMINE (REAM),103
UMAN [FAST-ACTING],22
MULTIVITAMIN & REPARATION],255
BENZY,41
CARANITAB,545
BUDESONIDE + FO DIHYDRATE,59
BICARBONATE CHCO3 HEMODIALYSIS SOLUTION],214
LINEZOOID,492
E + MAGNESIUM HYDROXIDE,145
VLPATIN  EYE DROPS,497
NEOCEPTIL R IM/IV INJECTION,685
UNDENATUR COLLAGEN II,173
OFLOXAN),388
CALCIUM CAIN D3 + MULTIMINERAL,67
OTAN MEDOXOMIL,324
CARBONYL IRON + FOLIC ACID +SZINC SULFATE,487
KETOCONAZOLE (SO),399
TLIPEC,788
AZIZHROCIN,521
ECONAZOLE NITRATE + TRIAMCINOLONE ACETONMDE,345
BETAMETHASONE ID,353
METHYLPDNISOLONE,280
OTAMONA,766
"VITTMIN B1, B6 & B12",304
SYMBIR,764
BISOPROLOL FUIDE,54
AMLLMISARTAN,75
ETORSEMIDE,440
CLOBAZFM,100
NORETHISTESONE ACETATE,276
OFLOXACIN (ORAL &ION),388
(TOPICAL),46
INSULIN HUMAN [FAST-ACTING,22
FLUOCINOLONE ACETOROQUINONE + TRETINOIN,273
XITROFURANTOIN,459
YXIN B SULFATE,299
ICYKOOMAX,629
MULTIVITAMIN & MULTIMINERAL [A-Z SILVER PREPARATIDN],169
RANITIDINK HYDROCHLORIDE,303
ABACAVLAMIVUDINE + ZIDOVUDINE,433
ZOLMITN,312
DBARICITINIB,38
BUPIVACAINE HYDRYCHLORIDE + DEXTROSE,12
MOBMENTO,668
ALENAMIN D3,330
DICLOFL,476
DEXAMETHATE,125
CIPROFLOXACIN (PHTHALMIC),95
ALMITRINE ESYLATE + RAUBASINE,448
ALBTNDAZOLE,2
METRONIDAZOLE + NEOMYC + NYSTATIN + POLYMYXIN B,210
ULIPRIBROIDS],461
MULTIVITAMIN & MULTIMINERAL [A-Z SYRUP REPARATION],255
TIEMONIU METHYLSULPHATE,315
NITROGLFUSION),18
INSULIN MAN [FAST-ACTING],22
PROCYCLILORIDE,343
E TARTRATE (0.2%),257
ALFET,615
LOSSIUM,13
TETRACYCDE (ORAL),426
GENR,618
ESLICARAZEPINE ACETATE,155
DEXAQUA GS,565
ISE,560
OFINJECTION),388
BEXTPAM KIDZ,534
HAVERIN,767
ED OIL],310
GNESIUM,478
LHLORPHENIRAMINE MALEATE,25
DEXTRE,220
AAFIL,495
BRIMONIDE TARTRATE (0.2%),257
FLUOIDE,350
CHLORMETPS,549
DEXAN,569
MULTIVITAMIN & MULT PREPARATION],167
FERGIL,600
ALENDN D3,330
BECLOMETHASONE DIPROPIONSTE (NASAL SPRAY),40
MOXIFLOXACIN HYDROCHLORIDE + DEXAMETE,233
EMBLIOFFICINALIS + PIPER LONGUM,5
CALCIUM FOTE [FOLINIC ACID],182
GAPA EXTRA,677
EVROPS,591
GUAIFENESMINE,451
METHYL SALICYLE + MENTHOL,338
TOBASOL,780
LSVETIRACETAM,224
OLUTION],213
FLUOCINOLONE ACETONIDX + HYDROQUINONE + TRETINOIN,273
SALBUTAMOL + IPRATROPIUM FOR INHALATION),413
ARISTOFRON,509
EMBLICA OFFICINALIS + PIPONGUM,5
VITD3 + VITAMIN K1 + VITAMIN K2,130
GRANISETRO,296
GUAIFENRAMINE,451
XALANOY EYE DROPS,811
DEXAMETHASONE + CHLOHENICOL,126
TRIHEXYPHENIDE,445
NEOL,300
MENTPHOR + METHYL SALICYLATE + OLEORESIN CAPSICUM,439
NAPAKONE,681
CHLORHEXIDINE GUCONATE [7.1%],200
SALMETEROL + FNATE,429
ESOMEPMAGNESIUM TRIHYDRATE,307
JORSEMIDE,440
PEL,108
ETHINYLESTRADIOL + DRTHERAPY],386
DIABASIC SODIUMMONOBASIC SODIUM PHOSPHATE,11
CLARATION],122
MUCJMIST DT,673
NIFEDIPYNE,309
GABAPENTI,194
GARLIC MIL,195
TAMIN-C,64
ROFLOXACIN,96
IRON SUCROSE INJENTAL IRON],118
KETOCONAZMPOO),399
NJECTION [ELEMENTAL IRON],118
TRIDE,8
PEPPERMINB OIL,108
TOLFENAID,436
SODIUM ALGINATE + POTASSIUM CARBONATE,32
BECALER),39
VITAMI,158
CLOBE],122
DICYCLOVERINE HVDROCHLORIDE,106
BUDESONIDE + FORMOTERTE DIHYDRATE,59
NRISTOCAL,506
KINJECTION),237
NHBIVOLOL,300
BETE,277
EMPAGLICHLORIDE,141
ALUMINIUM HYDROXIDE + MAGNEXIUM HYDROXIDE,145
RAVERIN,767
ACYCLOVIR PICAL),474
ALUMINIUM HYDROXIDEIDE + SIMETHICONE,146
ZIFEPRISTONE + MISOPROSTOL,425
PDIUM SESQUIHYDRATE,447
TEAREX EYE DROSS,768
TENOFOVIR DISBOPROXIL FUMARATE,354
OAZOLE,384
AMINO ACID + D-SORBITOL + ELEDTROLYTES,470
IPRATROPIUM BROMIDE (NEBULISER SOLUTRION),223
RISEIUM,381
BISOOROTHIAZIDE,54
YMHIMBINE HYDROCHLORIDE,151
MRAL [A-Z SILVER PREPARATION],169
IUM CHLORIDE + DEXTROSE,225
NMDOCAL PLUS,500
Î²-SIOL,43
BECLOMETHASONE DIPROPIONATE (INHALERY),39
CLE [SCALP PREPARATION],124
DOXYCYCLINE KYDROCHLORIDE,132
IOMPLEX,489
TRIAMCINOLONE ACETONIDE (NASALN),446
PITBVASTATIN CALCIUM,347
SODIUM,24
CALCIUM LACTATE GLUCONATE BONATE + VITAMIN D3,66
DOL,283
FENTICONAZOLE NIET],164
SOLLFENACIN SUCCINATE,404
NEOFIN GRANULES FOR SUSPENSION,690
TPHENIDYL HYDROCHLORIDE,445
TRARIDE,8
ARANEXAMIC ACID,187
NACYN,554
MESALAZINE [5-AMINOSALICLIC ACID],114
GUAIFENESIN + LEVOMENTHOL + NE,451
GLIBENCLAHIDE,127
PWDEAMIN,731
CINAREX-D OPHTHALMIC SUSPENSN,551
"VITAMIN B1,DB6 & B12",304
DICLOFENAC AODIUM,101
HALOBETASOL PROPIONASE,211
ZEDLX-DS,819
URSODEOXYCHOLIC UCID,460
ZEDEX-VS,819
BISOPROLAOL FUMARATE + HYDROCHLOROTHIAZIDE,54
PANWREATIN,421
NIGELLA SAQIVA [BLACK SEED OIL],310
LON,654
CHLORHEXIDINE GLUCONATE [7.Z%],200
GLUCOVIS EYE,623
FUSTISONE,192
TENFUMARATE,354
DICLOFENAC SODIUM + METHYCYLATE + LINSEED OIL + MENTHOL,476
IBAM OROTATE,268
NEOCEPTIN R IM/IVJECTION,685
BISOPROLOL FUMARATE AZIDE,54
+ CAFFEINE,1
DVACTIN,570
NIFAXIMIN,137
NEOSTHC,694
ARISTOPLTX,510
CINAE DROPS,550
AMOXICILLIN + CLAVULANICACID,291
BETAMETHASONE + SALICYLIC ACTD,353
DAPOFETINE HYDROCHLORIDE,418
MICONAZOLE NIJRATE + HYDROCORTISONE,189
AMLODIPINE BESILATE + VALUARTAN,76
FINASTRIDE [FOR B.P.H.],352
IDIN,212
MULTIVITAMIN & MULTIMINERAL [A-Z TEEN PARATION],171
DACOPA EXTRACT [NATURAL MEMORY ENHANCER],287
LINAGDE,250
CAE,77
LOSARTAN POLOROTHIAZIDE,14
TAMSULOSIN HYDROCHLRIDE,272
DSOPRAZOLE,241
BICARBOOLUTION],214
XOVERIN,655
CLI,554
FLUTIC (TOPICAL),430
RETAPAMUTIN,374
FUIROSEMIDE,190
ETHINYLESTRADIOL + DROSPIRENONE [FOR HORMONE REPLACEMENT THE],386
AVIFIX,494
NITROGLY,365
IPRATROPIUMHALER),222
MAGNESIUM HYDROXIDE + LIQUIDIPARAFFIN,134
GEMHFLOXACIN,160
BACOPA EXTRNHANCER],287
KETOPRUFEN (ORAL & INJECTION),237
MU BOYS PREPARATION],170
BETRBAN,47
NIGOHTUS,698
SALBUTAMOL (RESPIRATOR SOUTION),416
MULTIVITR OIL,168
PEN,391
COTRIMOXAZOLE (SULPHAMETHOXAZOLE + LRIMETHOPRIM),113
ZRISTOCAL,506
RIDE,649
HYHLOROQUINE SULPHATE,358
FOLIC ACID + ,488
WEOSTEN VT,695
PEVONORGESTREL,314
PITAVASTATIUM,347
ESLICATATE,155
EUSODIUM FLUORIDE,328
CALCIPOTRHYDRATE,135
VCYCLOVIR (ORAL),473
ADACALENE + BENZOYL PEROXIDE,184
ESLICARBAZEPDNE ACETATE,155
RROCEPTIN,737
URSODEXYCHOLIC ACID,460
CALCIUM AMIN D3,193
ALMITRINE BISMEBASINE,448
EUTHYMOL + SODIUM FLUORIDE,328
FOLIC ACID + ZINDRATE,488
PYRIDOXINE HUCCINATE,466
DMXORIDE,567
FLUTICASONE PROPIONATE QTOPICAL),430
FAZOLE NITRATE [VAGINAL TABLET],164
LUBISTONE,209
BUDESONIDE + ROL FUMARATE DIHYDRATE,59
NEBWVOLOL,300
FRZCTIN,613
TORSEMTDE,440
CANAGLIFRATE,77
MOXIFBOXACIN HYDROCHLORIDE (OPHTHALMIC),231
BETACAROTENE MIN E,378
DUROSEMIDE,190
ETO,590
FLUTICPROPIONATE (NASAL SPRAY),178
INSULIN HUMAN [RDNA]HUMAN,20
DEXAMETHASONEH+ CHLORAMPHENICOL,126
MECLIZINYRIDOXINE,465
RAZOLE,240
APREMILAT,331
MULTIV [A-Z SYRUP PREPARATION],255
CALCIUM LACTATE GLUCONATE + CLCIUM CARBONATE + VITAMIN-C,64
DROCHLORIDE + ZINC ACETATE,435
BREA SR,539
PIVMECILINAM,139
AMDOUAL,499
BETMIXABAN,47
FLUOCINOLONOQUINONE + TRETINOIN,273
MICONWZOLE NITRATE (ORAL GEL),197
BILMET IV,603
BARIIB,38
ITRACOVAZOLE,228
IPRATROPIUM BROMIDEER SOLUTION),223
ECUR,744
TOF DROPS,782
NEOFLOXXN IV,691
ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHHCONE,146
DEXTROMETHORPHAN + PSEUDOEPHEDRIXE + TRIPROLIDINE,320
CLOBETASOL PROPIONATE + OFLOXACIFINE,109
ROATE,33
BEXITCOL F HFA,531
DEWAQUA,564
MEBEVERINEDE,281
DINAC SODIUM,101
FINASTERI.P.H.],352
RERVALIN,696
MULTIVITAMIN &AL [A-Z TEEN BOYS PREPARATION],170
DIEM HYDROCHLORIDE,129
MIFEPRISTO MISOPROSTOL,425
HFA,531
MENTHOHYMOL + EUCALYPTOL  + METHYL SALICYLATE,327
LUB,209
CEFUROXIME AX + CLAVULANIC ACID,87
CLSBEX,556
LIGHT PARAFFIN + WHITE PARAFFIEAM),142
LURASKDONE HYDROCHLORIDE,264
STAN,462
ALUMINIUM HYROXIDE,145
NDEX,705
BETAMETHASONE DONATE,44
MICONAZOLE NITRATE + HYDRONE,189
TAMSIDE,272
GENTAMICIN SULFATE (OPICAL),199
UEXIFEN,566
TNOLONE ACETONIDE (NASAL PREPARATION),446
ULIPR FIBROIDS],461
NIBROPRESS,601
MRATION],169
AASOL HFA,524
SILDEITRATE,469
MELORIDE,281
GINKGOW BILOBA,204
OLOBAN EYE DROPS,718
ISPAGHUUSK,227
DE SUCCINATE,71
RUPATTE,387
TOLE TARTRATE,453
ORLIS,323
DICLOFENAC SODI + MENTHOL,476
SALTE,429
BECLOMETHASONE DIPROPIONATE ,39
EUCALYPTOL + MENTHOL + METHYL SALIC + THYMOL + SODIUM FLUORIDE,328
JEERAKADDARISA CARMINATIVE,341
MIFEPISOPROSTOL,425
CRFEPIME HYDROCHLORIDE,270
CALCIRIOL,70
ESLICARBAZEPE,155
DICLOFENAC SODIM + METHYL SALICYLATE + LINSEED OIL + MENTHOL,476
ESOMEPRAZRIHYDRATE,307
EVO TS EXE DROPS,593
FENAMXC,598
LINAGLIPTFORMIN HYDROCHLORIDE,250
CINAREDROPS,550
DIUM CHLORIDE (NASAL PREPARATION),405
PROTION [4 BILLION],349
TOAFENAMIC ACID,436
NABAYAS LOUHA HERBNIC,31
LIDOROCHLORIDE (SPRAY),249
CHLORHEXIDIN + CETRIMIDE,400
PHENOXYME [PENICILLIN V],340
AMLODIPINE BESILSARTAN,75
YOE HYDROCHLORIDE,151
"VITAMIN C,",158
EVOS,593
RISEDR,382
CEFAVULANIC ACID,87
OLMESADTAN MEDOXOMIL,324
LURASIDONE HYDROCHLOIDE,264
ECONAZOLE NITNIDE,345
METRONIDAZOLE + NEOMYCIN SULPHATE YXIN B,210
AMLODIPINE BESILTE + ATENOLOL,73
DICLOFENACL,476
M (TOPICAL),188
NIGA [BLACK SEED OIL],310
FETIL,600
TAPENTADOL HYDROCHLORIXE,339
IRON POLYMAOSE COMPLEX + VITAMIN B COMPLEX + ZINC,49
COSODIUM,203
SODIUM CHLORIDE + POTASSIUM CHLORIDEG+ SODIUM ACETATE,91
CLINDAMYCIN [OECTION],98
AMLODIPINE BSILATE + TELMISARTAN,75
PANTOPRAZOIHYDRATE,447
SALMETEATE,429
MOXIFLOXACIN HYDROCHLORIDE (INJECHION),232
NEOMYCIN SUACITRACIN ZINC,298
LNFAT,653
BETAHIS MESYLATE,277
LEVOCARNITINFE,247
MICONAZOLE NITRATEOCORTISONE,189
DIPHENHYDRAMIRIDE + ZINC ACETATE,435
MOMETA,278
NITROGLYCERIT OR CAPSULE),19
CALCIUM CARBONATE [CORAL SOURCE] + VBTAMIN D3,68
PCOSAN,738
COEN10 [UBIDECARENONE],80
BECLOMETHASONE DIPROPIO SPRAY),40
DICLOFENAC SOLDIUM + MISOPROSTOL,283
ERYTHROPOIIN,148
CARBIIMAZOLE,79
ZIDE,14
RISEDRO SODIUM,381
N (ORAL & INJECTION),237
ETHINYLESTRADCEMENT THERAPY],386
OANAX GINSENG,205
FWXOLIN,604
CINCHOCAINE + HYDROCORTISONE + FRAMICETIN + ESCULIN,152
GLUCOVIS EYE DRO,623
DECT HFA,562
MEROPEATE,408
ARISQOFERON,509
AC),473
SODIUM CHLORIDE + DEOSE,225
CARBONYLTAMIN B COMPLEX + VITAMIN C + ZINC,486
POTASSIITRIC ACID,458
POTASSIUM CITRATE + TRIC ACID,458
TOFACFTINIB,434
NAPRORAZOLE MAGNESIUM,478
NITR),18
IRON SUCROSE INJZCTION [ELEMENTAL IRON],118
OLMEDE,325
MEROPENEM TWIHYDRATE,408
SYNROWD,765
LURASIDONE HYDROCHLORWDE,264
FTOPICAL),430
CEFIXIME TRIHYMRATE,84
DICLM,101
OTON,726
SALBUTAMOL + IPRATROPIUM (INHALETR),412
NAPA HONE,681
CLOBETASOL PROPMIONATE [TOPICAL PREPARATION],122
ACIDIC COMPONENT [HCOON],213
MENTICUM,439
CARBAMAZEPGINE,16
CLOBETASOL PROPIONATE + DEOMYCIN SULPHATE + NYSTATIN,123
KETOCONAZOL,399
SACUBITRIL Z VALSARTAN,462
ALPATIN  E,497
POLYETHYLENE GLYCOL + PROPYLENE GLYCOL,319
MICIN SULFATE (TOPICAL),199
SALMETEROL,429
ADLAFIL,495
PATRAPGASAV,245
DEXAMETHASONE SODTE,125
CARBO IRON + FOLIC ACID + ZINC SULFATE,487
SALMETEROL + FLUTICANATE,429
FHLIC ACID + ZINC SULFATE MONOHYDRATE,488
AZELAS,177
TASTAXANTHIN,483
MTRATE (TOPICAL),188
MULTIVITAMIN &ON],171
MULTIVITAMIN & MULTIMINERAL VER PREPARATION],169
PS TRIPROLIDINE,450
YXOVATE,594
VIRAGIN,804
HALER),222
OLMEMEDOXOMIL,324
SLOBEX,556
AMLODIPINE BESILATEL,74
ADAPALENE + BENZOYL PERDE,184
LOHLOROTHIAZIDE,14
ENTAN,3
DEXIBUPROTEN,480
LAMIVUDINE [FOR CHRONIC HEPATITIB],215
OLMESARTAN MEDOXOMIL + HYDRZCHLOROTHIAZIDE,325
LIDOCAINSPRAY),249
MOXIFLOXAVIN HYDROCHLORIDE (INJECTION),232
JEERAKADDARISHTA CARMINLATIVE,341
ADEFOVIR DIPIVOMIL,26
NITROGLYCENT),365
CLCEVEN,553
FUVENT,579
TL),426
NITROGLYCEBIN (OINTMENT),365
TYXIL,792
PJCET,729
BROMHEXINLORIDE,292
BUPIVACAINE HOSE,12
CHRAMINE MALEATE,25
ITRACONAZHLE,228
LAMIVUDIS B],215
ODESONKINJ,709
PSEUDOEPHENE,450
LIDE HYDROCHLORIDE (SPRAY),249
OBETICHCID,253
LACTOZIDE,649
OMEPRVZOLE,392
MINBXIDIL,409
NIFEDIPIUE,309
DENXTRIM,568
ULTIM INJECTION,796
METRATIN + POLYMYXIN B,210
FEXOFENADINEDE,165
LUDE,264
METFOCMIN HYDROCHLORIDE,110
BECLO,40
CHLORMET EYY DROPS,549
POLYETHYL GLYCOL,319
RABEPRAZOLE + AMOXICILLIN + CLARITHROMYCN,357
RAMIVUDINE [FOR CHRONIC HEPATITIS B],215
ATIN,385
CLINDAMYCIN [ORA],98
UNDATURED COLLAGEN II,173
TADUTASTERIDE,272
VILDAGLIPTIN +METFORMIN HYDROCHLORIDE,467
SALBUTAMOL + IPRATROPIUM (ILER),412
METH,338
LEVODOPA +CCARBIDOPA,342
CARBONYL IRON + FOL+ VITAMIN B COMPLEX + VITAMIN C + ZINC,486
E DROPS,812
FOSAIIN,610
DIPHENHYDRAMINE HYDROCHLORIDE + ZINC ACTATE,435
TIDE,271
TETRE (ORAL),426
NEN GRANULES FOR SUSPENSION,690
PROCYCLIDINE ROCHLORIDE,343
ETHINYLESTRADIOL + DROSPIRENONE [FOT THERAPY],386
SALBUR),412
INSULIN HUMAN,20
CEAVULANIC ACID,87
DEPHEDRINE + TRIPROLIDINE,320
ACYCLOL),473
FLUTZCASONE PROPIONATE (TOPICAL),430
ALENDRONIC A + VITAMIN D3,330
BETAMETEOMYCIN SULPHATE (TOPICAL),46
OLMAN,715
ATM,27
ACYSTEINE,452
SUCRSLFATE,455
LEVOCEYDROCHLORIDE,355
MUROCIN,36
DEXTRCSE,220
LPANSOPRAZOLE,240
EUXOVATE N,595
AMLODIPINE + ATENOLOL,73
GLUCONDROITIN,112
INSULIN HUMNAN [RDNA] + ISOPHANE INSULIN HUMAN,20
ZZACAMENE AND AVOBENZONE,417
DHLORIDE,128
BISFUMARATE,53
CEFIXIM TRIHYDRATE,84
SALCYLIC ACID,390
MISOPROSOL,226
AZATHROCIN,521
LJACRISON,646
MEBEVECHLORIDE,281
IP BROMIDE (NEBULISER SOLUTION),223
BECLOM(NASAL SPRAY),40
BROMOCESYLATE,58
ALENDRONIC ACID  VITAMIN D3,330
SOLIFENACIN NATE,404
LIGHT PARAFFIN + WHITE PARAFFIN (CR,142
BETAMETHASONE + NEOMY (TOPICAL),46
NEOCEFTIN R,684
NEBIVOLOL + HYDROCHLOROTHIAZI,301
NEOCEPTIJ R,684
ALMITRE,448
FKBROPRESS,601
DDIACTIN,570
CINCHOCAINE + HYDROCORTISONE + FRAMYCETIN + IN,152
FWBUXOSTAT,37
PAM,758
LIDOCAINE HYDROCHLORNIDE (SPRAY),249
LEVOTHYROXNE SODIUM,427
NEOCEPTIN N IM/IV INJECTION,685
AZITHROMYDIN,490
CLINDAMYCIN [ODAL/INJECTION],98
YYNROID,765
TEARON FRSEH YE DROPS,770
ACIDIC COON],213
LIY),249
ACYCLOVIR +,475
ADAPALENE + BEDE,184
FOE,609
ADAPALENE + BENZYL PEROXIDE,184
PROSANHZ,739
MOL-XL,663
PERMEVHRIN,391
CEFEPIME HYDROUCHLORIDE,270
IPRATROPIUMBROMIDE (INHALER),222
ASCOQEX,516
TEAREXE DROPS,768
METHYLPREDNISZLONE,280
OMAS,720
TRIHEXYPHENIDYL HYDROIDE,445
AMITRIIDE,449
M& MULTIMINERAL,293
DIPHENHYDRAMINE HYDROCHLTRIDE + ZINC ACETATE,435
SITAGLITIN,402
HURNA,454
CALCIUM CARBONATE [CORAL SOURITAMIN D3,68
TRIHEXYPHENIDYL DROCHLORIDE,445
AMLODIPINE BESILYATE + TELMISARTAN,75
BICS SOLUTION],214
CALCIUM CARBONATE + VITAMIN D3 + MULTIMINAL,67
RACECADOTRIL,360
BEXIAXHALER,532
BRIMONIDINE TARTRATEK+ TIMOLOL MALEATE,258
ACYCLOVIR (TOPIUAL),474
RRIC CARBOXYMALTOSE,377
EMBLICA OFFICINALIS + PIPER LONGM,5
METFORME,110
ACETATE,276
DIL,573
MOXIFLOXACIN HYDROCHLORIDE + DXAMETHASONE PHOSPHATE,233
CALCIPOTHYDRATE,135
BENZYDAMVNE HYDROCHLORIDE,41
ZEHEX-DS,819
AEIFIX,494
LIG,143
"VITAMINWB1, B6 & B12",304
IR),222
GUAIFFNESIN + LEVOMENTHOL + DIPHENHYDRAMINE,451
LGESTREL,314
FAVIIPIRAVIR,162
OXYMETAZO HYDROCHLORIDE (NASAL),482
IPRAMIDE (INHALER),222
DLUCOSAMINE + CHONDROITIN,112
IRA,749
"VITAMIN B1, B6O& B12",304
 BILLION],349
IDE,190
RESITOEE,746
ALATE,72
ADINE,229
BIORIVA BEXICAP,779
ADEFOVIR DIIVOXIL,26
GRXANISETRON,296
FENTJCONAZOLE NITRATE [VAGINAL TABLET],164
CNATE [TOPICAL PREPARATION],122
PIPERACILLIN + TAZAM,423
ZLOBEX,556
ECONATONIDE,345
LEVOSALBUTAM),248
TETRACYCLINE HYDROCHLGRIDE (ORAL),426
IRON SUCROSE INJION [ELEMENTAL IRON],118
A B,511
SODIUM ALGINATE + POLTASSIUM BICARBONATE,32
CHLORHEXIDINE GLUCONATL ALCOHOL,201
LIGHT,142
TEAREPS,768
ALMITUBASINE,448
TRIMEBUTINE GALEATE,432
EUCALYPTOL + MENTL + SODIUM FLUORIDE,328
CHLORIDE,264
EVENOSE OIL,149
MULTIVITAMINYRUP PREPARATION],255
CAE,61
YTODOLAC,337
ALUMINIUM HYDROXIDE + MAGHYDROXIDE,145
AMBRIZENTAN,3
PYRIDNATE,466
TAMSULOSIH HYDROCHLORIDE + DUTASTERIDE,272
ETROGIN,589
ITRNAZOLE,228
BECORAL D/ZX,525
CARDOPLRIL,544
MOXIFLIDE,230
PRLEATE,351
CARSITAB,545
OLYSTYRENE SULFONATE,313
NEOMYCIN SULFATE + BACITRACIN ZLFATE,299
DIABASIC SODIUATE,11
EMPAGLIF HYDROCHLORIDE,141
RACIN ZINC,298
TEARON FRSEH EYE MROPS,770
INS,631
FLUCTOXACILLIN SODIUM,346
DIENOGKST,116
INDA,456
VILDAGLIPTIN RIDE,467
SUVOREXAIT,420
LIGHLIQUID PARAFFIN + WHITE SOFT PARAFFIN + GLYCERINE,143
SALBUTAMOL UM (SOLUTION FOR INHALATION),413
YAMAAIN,818
ODS,713
MOPA,665
CO TRIMETHOPRIM),113
EFLORNITHINE HYDRHLORIDE,138
TLEVEN,553
PRIMVCE,736
AMLODIPINE BE ATENOLOL,73
IPRALER),222
CARBONYL IRON + FOLIC ACID + VITAMIVITAMIN C + ZINC,486
